split,dataset,payload_bits,label_name,label,prompt,seed,key_seed,image_path,brisque,mode_used
train,COCO,0,cover,0,A black Honda motorcycle parked in front of a garage.,10000.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0000.png,4.32440185546875,
train,COCO,0,cover,0,A Honda motorcycle parked in a grass driveway,10001.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0001.png,19.38043212890625,
train,COCO,0,cover,0,An office cubicle with four different types of computers.,10002.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0002.png,12.92962646484375,
train,COCO,0,cover,0,A small closed toilet in a cramped space.,10003.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0003.png,-9.61932373046875,
train,COCO,0,cover,0,Two women waiting at a bench next to a street.,10004.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0004.png,11.51190185546875,
train,COCO,0,cover,0,A black Honda motorcycle with a dark burgundy seat.,10005.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0005.png,22.70660400390625,
train,COCO,0,cover,0,A tan toilet and sink combination in a small room.,10006.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0006.png,1.98394775390625,
train,COCO,0,cover,0,The home office space seems to be very cluttered.,10007.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0007.png,23.89007568359375,
train,COCO,0,cover,0,A beautiful dessert waiting to be shared by two people,10008.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0008.png,2.64971923828125,
train,COCO,0,cover,0,A woman sitting on a bench and a woman standing waiting for the bus.,10009.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0009.png,21.09796142578125,
train,COCO,0,cover,0,A woman sitting on a bench in the middle of the city,10010.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0010.png,21.36663818359375,
train,COCO,0,cover,0,This is an advanced toilet with a sink and control panel.,10011.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0011.png,12.02642822265625,
train,COCO,0,cover,0,A cat eating a bird it has caught.,10012.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0012.png,-0.25982666015625,
train,COCO,0,cover,0,A close-up picture of a toilet with a fountain.,10013.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0013.png,10.35211181640625,
train,COCO,0,cover,0,A shot of an elderly man inside a kitchen.,10014.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0014.png,15.42901611328125,
train,COCO,0,cover,0,A cat in between two cars in a parking lot.,10015.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0015.png,10.08599853515625,
train,COCO,0,cover,0,A woman sitting on a bench and a woman standing behind the bench at a bus stop,10016.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0016.png,24.64056396484375,
train,COCO,0,cover,0,An office cubicle with multiple computers in it,10017.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0017.png,9.75726318359375,
train,COCO,0,cover,0,An old man is wearing an odd hat,10018.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0018.png,-7.26715087890625,
train,COCO,0,cover,0,A parade of motorcycles is going through a group of tall trees.,10019.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0019.png,11.04119873046875,
train,COCO,0,cover,0,a man sleeping with his cat next to him,10020.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0020.png,5.38446044921875,
train,COCO,0,cover,0,An all white kitchen with an electric stovetop. ,10021.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0021.png,24.19171142578125,
train,COCO,0,cover,0,an office with desk computer and chair and laptop.,10022.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0022.png,19.45684814453125,
train,COCO,0,cover,0,The telephone has a banana where the receiver should be.,10023.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0023.png,22.37005615234375,
train,COCO,0,cover,0,Off white toilet with a faucet and controls. ,10024.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0024.png,3.08721923828125,
train,COCO,0,cover,0,A white stove sits between two small counter tops.,10025.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0025.png,13.15472412109375,
train,COCO,0,cover,0,A woman and another woman waiting at a stop.,10026.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0026.png,26.13641357421875,
train,COCO,0,cover,0,Office setting with a lot of computer screens.,10027.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0027.png,36.01959228515625,
train,COCO,0,cover,0,Close up of a white kitchen setup with a coffee maker on counter.,10028.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0028.png,41.20196533203125,
train,COCO,0,cover,0,A desk and chair in an office cubicle.,10029.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0029.png,30.24945068359375,
train,COCO,0,cover,0,A white stove and cabinet inside a kitchen.,10030.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0030.png,18.14495849609375,
train,COCO,0,cover,0,There is a piece of cake on a plate with decorations on it.,10031.0,,/content/drive/MyDrive/grdh_outputs/detect/images/train/cover/COCO/COCO_train_cover_0031.png,21.38262939453125,
